i_7_2_6_FR_X,2,7,X,FR,6,BNBL,10.998,0.484,3855,"((10.998, 3855, 0.484),)"
i_7_2_6_FR_X,2,7,X,FR,6,BNB,10.998,0.534,4386,"((10.998, 4386, 0.534),)"
i_7_3_6_MT_X,3,7,X,MT,6,ASTAR,1.5,0.557,4294,"((1.5, 4294, 0.557),)"
i_7_3_6_MT_X,3,7,X,MT,6,GBNB,1.5,0.567,4294,"((1.5, 4294, 0.567),)"
i_7_2_6_FR_X,2,7,X,FR,6,BFS,10.998,0.561,4735,"((10.998, 4735, 0.561),)"
i_7_2_6_FR_X,2,7,X,FR,6,DFS,10.998,0.656,5185,"((10.998, 5185, 0.656),)"
i_7_3_6_MT_X,3,7,X,MT,6,DFS,1.5,1.142,8889,"((1.5, 8889, 1.142),)"
i_5_3_7_FR_X,3,5,X,FR,7,BFS,14.155,158.25,1428918,"((14.155, 274568, 30.009), (14.155, 548936, 60.013), (14.155, 817268, 90.015), (14.155, 1094188, 120.015), (14.155, 1347772, 150.015), (14.155, 1428918, 158.25))"
i_5_3_7_FR_X,3,5,X,FR,7,BNBL,14.155,159.904,1373076,"((14.155, 262904, 30.008), (14.155, 530576, 60.026), (14.155, 757920, 90.027), (14.155, 1027308, 120.027), (14.155, 1278432, 150.028), (14.155, 1373076, 159.904))"
i_5_3_7_FR_X,3,5,X,FR,7,BNB,14.155,160.954,1410980,"((14.155, 268880, 30.006), (14.155, 535688, 60.006), (14.155, 786924, 90.009), (14.155, 1053780, 120.009), (14.155, 1305772, 150.009), (14.155, 1410980, 160.954))"
i_5_3_7_FR_X,3,5,X,FR,7,ASTAR,14.155,178.244,1500883,"((14.155, 257604, 30.019), (14.155, 518452, 60.025), (14.155, 762184, 90.026), (14.155, 1030442, 120.026), (14.155, 1278375, 150.027), (14.155, 1500883, 178.244))"
i_7_2_10_FR_X,2,7,X,FR,10,BNBL,19.591,91.056,642076,"((19.591, 205420, 30.004), (19.591, 417624, 60.007), (19.591, 633102, 90.007), (19.591, 642076, 91.056))"
i_5_3_7_FR_X,3,5,X,FR,7,GBNB,14.155,183.494,1543075,"((14.155, 251942, 30.004), (14.155, 511458, 60.005), (14.155, 758430, 90.005), (14.155, 1021318, 120.019), (14.155, 1267338, 150.025), (14.155, 1506773, 180.037), (14.155, 1543075, 183.494))"
i_7_2_10_FR_X,2,7,X,FR,10,ASTAR,19.591,99.859,718080,"((19.591, 212848, 30.001), (19.591, 412434, 60.003), (19.591, 629072, 90.004), (19.591, 718080, 99.859))"
i_7_2_10_FR_X,2,7,X,FR,10,GBNB,19.591,104.371,750390,"((19.591, 208750, 30.001), (19.591, 411582, 60.001), (19.591, 624366, 90.003), (19.591, 750390, 104.371))"
i_7_2_10_FR_X,2,7,X,FR,10,BNB,19.591,112.169,810677,"((19.591, 223976, 30.003), (19.591, 449804, 60.004), (19.591, 673560, 90.005), (19.591, 810677, 112.169))"
i_5_3_7_FR_X,3,5,X,FR,7,DFS,14.155,204.19,1763292,"((14.155, 258555, 30.001), (14.155, 524770, 60.001), (14.155, 788438, 90.014), (14.155, 1041824, 122.535), (14.155, 1302204, 153.303), (14.155, 1622379, 183.303), (14.155, 1763292, 204.19))"
i_7_2_10_FR_X,2,7,X,FR,10,BFS,19.591,114.537,871167,"((19.591, 227528, 30.004), (19.591, 462180, 60.004), (19.591, 694692, 90.004), (19.591, 871167, 114.537))"
i_8_2_6_SC_X,2,8,X,SC,6,BFS,6.0,14.39,105720,"((6.0, 105720, 14.39),)"
